Name,Address,LinkedIn,Website,Email,Lawyers,Lawfields
Schweitzer & Schweitzer Rechtsanwälte,"F1 10, 68159 Mannheim",No LinkedIn link,http://www.rae-schweitzer.de/,roman@rae-schweitzer.de,Stefanie Schweitzer; Roman Schweitzer; Bernd Schweitzer,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Familienrecht • Fachanwaltschaft Strafrecht • Ordnungswidrigkeitenrecht • Opferhilfe • Zivilrecht • Betreuungsrecht • Allgemeines Vertragsrecht • Erbrecht •
"Rechtsanwälte Frank Mohr, Joachim Mohr, Sven Köppe in Bürogemeinschaft","Greizer Str. 1, 35396 Gießen",No LinkedIn link,http://www.kanzlei-mohr.info/,fmohr@kanzlei-mohr.de,Joachim Mohr; Sven Köppe; Frank Mohr,Fachanwaltschaft Erbrecht • Fachanwaltschaft Familienrecht •  • Arbeitsrecht • Mietrecht & Wohnungseigentumsrecht • Versicherungsrecht • Werkvertragsrecht • Forderungseinzug & Inkassorecht • Schadensersatzrecht & Schmerzensgeldrecht • Allgemeines Vertragsrecht • Sportrecht
Krebs & Partner PartG,"Markt 32, 52525 Heinsberg",No LinkedIn link,https://www.krebs-anwalt.de/,info@krebs-anwalt.de,Heike Ibenthal; Björn Schröders; Peter Krebs,Fachanwaltschaft Familienrecht •  • Mietrecht & Wohnungseigentumsrecht • Versicherungsrecht • Medizinrecht • Reiserecht • Werkvertragsrecht • Allgemeines Vertragsrecht • Arbeitsrecht • Erbrecht • Verwaltungsrecht • Vereinsrecht & Verbandsrecht • Urheberrecht & Medienrecht
Rechtsanwälte Weiss & Grunert Partnerschaftsgesellschaft,"Dreifaltigkeitsplatz 176, 84028 Landshut",No LinkedIn link,http://www.weiss-grunert.de/,info@weiss-grunert.de,Benedikt von Kuepach; Kilian Zieglmaier; Tobias Weiss; Torstein Grunert,Fachanwaltschaft Familienrecht • Fachanwaltschaft Baurecht & Architektenrecht •  • Erbrecht • Zivilrecht • Handelsrecht & Gesellschaftsrecht • Arbeitsrecht • Bankrecht & Kapitalmarktrecht • Mietrecht & Wohnungseigentumsrecht • Strafrecht
Lamster & Partner Rechtsanwälte PartG mbB,"Kaiser-Joseph-Str. 269, 79098 Freiburg im Breisgau",No LinkedIn link,https://www.lamster-kanzlei.de/,info@lamster-kanzlei.de,David Vogel; Martin Lamster; Jan Kuhlicke; Philipp Porep; Elias Molitor,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Strafrecht •  • Wettbewerbsrecht • Allgemeines Vertragsrecht • Zivilrecht • Schadensersatzrecht & Schmerzensgeldrecht • Erbrecht • Urheberrecht & Medienrecht • Wirtschaftsrecht
"Bergmann, Jaekel, Waßelewsky","Pichelsdorfer Straße 61, 13595 Berlin",No LinkedIn link,https://www.bejawa.de/,spandau@bejawa.de,Alexander Jaekel; Dirk Waßelewsky; Dietmar Goerz,• Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Arbeitsrecht • Zivilrecht • Verwaltungsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Bankrecht & Kapitalmarktrecht • Reiserecht • Kaufrecht • Allgemeines Vertragsrecht • Ordnungswidrigkeitenrecht • Strafrecht
Jordan Fuhr Meyer Rechtsanwälte und Steuerberater,"Harmoniestr. 1, 44787 Bochum",No LinkedIn link,http://www.jfm24.de/,info@jfm24.de,Burkhardt Jordan; Sascha Conradi LL.M.; Birgit Gladisch; Juri Rogner; Dr. Susanne Selter; Jochen Struck,Fachanwaltschaft Erbrecht • Fachanwaltschaft Steuerrecht •  • Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Sozialrecht • Fachanwaltschaft Strafrecht • Fachanwaltschaft Arbeitsrecht • Werkvertragsrecht • Zivilrecht • IT-Recht • Baurecht & Architektenrecht • Unternehmensrecht & Betriebsnachfolge • Jagdrecht • Ordnungswidrigkeitenrecht
"KSG Kanzlei Schwede, Gewert & Kollegen","Theaterstr. 3, 30159 Hannover",https://www.linkedin.com/company/kanzlei-schwede-gewert-&-kollegen/,http://www.ksg-recht.de/,info@ksg-recht.de,Anna Lena Dinkler; Joachim Dorner; Jörg Schwede; Dipl.Verw.wirt (FH) Ulrich Gewert; Ninja Lorenz LL.M.,Fachanwaltschaft Sozialrecht • Fachanwaltschaft Handelsrecht & Gesellschaftsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Gewerblicher Rechtsschutz •  • Zivilrecht • Familienrecht • Sozialversicherungsrecht • Grundstücksrecht & Immobilienrecht • Schwerbehindertenrecht • Pflegerecht • Opferhilfe • Unterhaltsrecht • Arbeitsrecht • Öffentliches Baurecht • Baurecht & Architektenrecht • Erbrecht • Reiserecht • Kaufrecht • Unternehmensrecht & Betriebsnachfolge • Allgemeines Vertragsrecht • Beamtenrecht • Werkvertragsrecht • Verwaltungsrecht
Rechtsanwaltskanzlei Engelmann Eismann Ast,"Archivstr. 3, 90408 Nürnberg",No LinkedIn link,http://www.eea-rechtsanwalt-nuernberg.de/,info@eea-rechtsanwalt-nuernberg.de,Alexandra Lades; Lisa Kilian; Leonie Gruber; Manuel Ast; Martin Eismann; Martina Hunneshagen; Nadine Kohler; Peter Engelmann,Fachanwaltschaft Insolvenzrecht • Fachanwaltschaft Erbrecht • Fachanwaltschaft Handelsrecht & Gesellschaftsrecht • Fachanwaltschaft Insolvenzrecht & Sanierungsrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Familienrecht • Allgemeines Vertragsrecht • Mediation • Zivilrecht • Sportrecht • Grundstücksrecht & Immobilienrecht • Maklerrecht • Mietrecht & Wohnungseigentumsrecht •
Delgmann + Partner Rechtsanwälte – Fachanwälte,"Kennedyplatz 8, 45127 Essen",No LinkedIn link,http://www.delgmann.de/,mail@delgmann.de,Sinan Akcakaya; Ralf Delgmann; Hanns Peter Faber; Susanne Rüsken; Frank Gentile,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Familienrecht • Fachanwaltschaft Strafrecht • Fachanwaltschaft Steuerrecht • Beamtenrecht •  • Erbrecht • Ausländerrecht & Asylrecht • IT-Recht • Mietrecht & Wohnungseigentumsrecht • Zivilrecht • Wirtschaftsrecht • Grundstücksrecht & Immobilienrecht • Schulrecht • Allgemeines Vertragsrecht
LWB Rechtsanwaltskanzlei,"Theaterstraße 65, 52062 Aachen",No LinkedIn link,https://www.lwb-kanzlei.de/,info@lwb-kanzlei.de,Ravil Linke; Marija Beeretz LL.M.; Kevin Wydra; Stefan Linke,Fachanwaltschaft Familienrecht • Fachanwaltschaft Baurecht & Architektenrecht • Strafrecht • Arbeitsrecht • Ordnungswidrigkeitenrecht • Medizinrecht • Sozialrecht • Betreuungsrecht • Zivilrecht • Erbrecht • Allgemeines Vertragsrecht • Mietrecht & Wohnungseigentumsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Kaufrecht •
Kanzlei Schaal - Söder Rechtsanwälte Fachanwälte Mediatoren,"Hochstr. 6, 87527 Sonthofen",No LinkedIn link,http://www.kanzlei-schaal-soeder.de/,info@kanzlei-schaal-soeder.de,Martin Schaal; Michael Söder; Carolin Söder,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Erbrecht • Fachanwaltschaft Familienrecht •  • Mietrecht & Wohnungseigentumsrecht • Ordnungswidrigkeitenrecht • Forderungseinzug & Inkassorecht • Mediation • Zivilrecht • Arzthaftungsrecht • Öffentliches Baurecht • Wirtschaftsrecht
Blatt & Kollegen Rechtsanwälte,"Hauptbahnhofstr. 2, 97424 Schweinfurt",No LinkedIn link,http://www.kanzlei-blatt.de/,rechtsanwaelte@kanzlei-blatt.de,Hubertus J. Krause; Johannes Will-Fuchs; Jutta Leitherer; Thomas Wildanger; Gabriele Jakob; Lara Siegmann,Fachanwaltschaft Strafrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Familienrecht • Fachanwaltschaft Bankrecht & Kapitalmarktrecht • Arbeitsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Urheberrecht & Medienrecht • Reiserecht • Kaufrecht • Recht rund ums Tier • Zivilrecht • Handelsrecht & Gesellschaftsrecht • Wirtschaftsrecht • Allgemeines Vertragsrecht •  • Pferderecht • Erbrecht • Ordnungswidrigkeitenrecht • Wettbewerbsrecht • Insolvenzrecht & Sanierungsrecht • Grundstücksrecht & Immobilienrecht • Versicherungsrecht • Baurecht & Architektenrecht
Kanzlei Peters und Dr. Momberg,"Luisenstr. 23b, 37269 Eschwege",No LinkedIn link,http://www.kanzlei-momberg.de/,schomerus@kanzlei-momberg.de,Dr. Rolf Momberg; Sabine Schomerus; Eike Christian Peters,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Versicherungsrecht • Unternehmensrecht & Betriebsnachfolge • Schadensersatzrecht & Schmerzensgeldrecht • Handelsrecht & Gesellschaftsrecht • Zivilrecht • Arzthaftungsrecht • Erbrecht • Grundstücksrecht & Immobilienrecht • Steuerrecht • Sozialrecht •  • Mietrecht & Wohnungseigentumsrecht • Familienrecht
Rechtsanwälte BAYH & FINGERLE,"Königstr. 22, 70173 Stuttgart",No LinkedIn link,http://www.bayh-fingerle.de/,info@bayh-fingerle.de,Volkan Alp; Ute Bohn; Frank Wiesbrock; Marbod Hans; Peter Bayh; Tizia Bayh; Andreas Pitsch; Uwe Hoffmann; Mona Schlolaut,Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht • Fachanwaltschaft Sozialrecht • Familienrecht • Erbrecht •  • Ordnungswidrigkeitenrecht • Internationales Recht • Maklerrecht • Kaufrecht • Forderungseinzug & Inkassorecht • Transportrecht & Speditionsrecht • Handelsrecht & Gesellschaftsrecht • Wirtschaftsrecht • Zivilprozessrecht • Allgemeines Vertragsrecht • Internationales Wirtschaftsrecht • Zivilrecht
"Sperrer, Bette & Collegen","Kaflerstr. 4, 81241 München",No LinkedIn link,https://www.rae-bette.de/,info@rae-bette.de,Dr. Catharina Landwehr; Marc Sperrer LL.M.; Franz X. Bette; Isolde Borsos,Fachanwaltschaft Versicherungsrecht • Mietrecht & Wohnungseigentumsrecht • Arbeitsrecht • Erbrecht • Familienrecht •  • Arzthaftungsrecht • Zivilrecht • Schadensersatzrecht & Schmerzensgeldrecht • Bankrecht & Kapitalmarktrecht • Handelsrecht & Gesellschaftsrecht • Mediation • Urheberrecht & Medienrecht
Benholz Mackner Faust,"Wittbräucker Str. 42, 44287 Dortmund",No LinkedIn link,http://www.bmf-recht.de/,info@bmf-recht.de,Thomas Benholz; Jens Mackner; Roland Faust,Fachanwaltschaft Familienrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Baurecht & Architektenrecht •  • Erbrecht • Ordnungswidrigkeitenrecht • Forderungseinzug & Inkassorecht • Grundstücksrecht & Immobilienrecht • Allgemeines Vertragsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Zivilrecht
Kanzlei Fahr | Groß | Indetzki,"Weingartenstr. 19a, 77654 Offenburg",No LinkedIn link,https://www.ra-og.de/,info@ra-og.de,Norbert Fischer; Amelie von Schoenaich LL.M. Eur.; Joachim Indetzki; Markus Groß; Dominic Schillinger; Karen Baas; Alexander Kofler; Benjamin Schütz LL.M.,Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Familienrecht • Fachanwaltschaft Medizinrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Insolvenzrecht & Sanierungsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht •  • Fachanwaltschaft Erbrecht • Fachanwaltschaft Urheberrecht & Medienrecht • Schadensersatzrecht & Schmerzensgeldrecht • Kaufrecht • Werkvertragsrecht • Internationales Recht • Allgemeines Vertragsrecht • Arzthaftungsrecht • Unternehmensrecht & Betriebsnachfolge • Grundstücksrecht & Immobilienrecht • Strafrecht • Zivilrecht • Wettbewerbsrecht • IT-Recht • Gewerblicher Rechtsschutz
Kanzlei am Holm,"Rathausstraße 11 -13, 24937 Flensburg",No LinkedIn link,http://www.holm66.de/,kanzlei@holm66.de,Christian Meyer; Jan J. Gärtner; Patrick Schlicker; Björn Thies,• Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht • Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Medizinrecht • Pflegerecht • Allgemeines Vertragsrecht • Erbrecht • Familienrecht • Schadensersatzrecht & Schmerzensgeldrecht
Anwaltssozietät Tigges & Sevis,"Heiliger Weg 3-5, 44135 Dortmund",No LinkedIn link,http://www.anwaltskanzleidortmund.de/,info@anwaltskanzleidortmund.de,Jörg Tigges; Serpil Sevis; Gesche Creon-Tigges,Fachanwaltschaft Baurecht & Architektenrecht • Fachanwaltschaft Strafrecht • Fachanwaltschaft Migrationsrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Familienrecht •  • Ausländerrecht & Asylrecht • Zivilrecht • Erbrecht • Forderungseinzug & Inkassorecht • Kaufrecht • Mietrecht & Wohnungseigentumsrecht • Grundstücksrecht & Immobilienrecht • Ordnungswidrigkeitenrecht
Dölle & Partner,"Brombergstr. 17c, 79102 Freiburg im Breisgau",No LinkedIn link,http://www.ra-doelle.de/,freiburg@ra-doelle.de,Christoph Buck; Christian Lichy; Barbara Herr; Mirjam Demel; Mirko Gerke,Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Familienrecht • Fachanwaltschaft Sozialrecht •  • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Baurecht & Architektenrecht • Kaufrecht • Schadensersatzrecht & Schmerzensgeldrecht • Grundstücksrecht & Immobilienrecht • Allgemeines Vertragsrecht • Erbrecht • Betreuungsrecht • IT-Recht • Ordnungswidrigkeitenrecht • Urheberrecht & Medienrecht • Unternehmensrecht & Betriebsnachfolge • Strafrecht • Reiserecht • Forderungseinzug & Inkassorecht • Markenrecht
Kanzlei DSSD,"Landauer Str. 66, 67433 Neustadt an der Weinstraße",No LinkedIn link,http://www.kanzlei-dssd.de/,kontakt@kanzlei-dssd.de,Matthias Schwab; Anke H. Schumann; Herbert J. Doll,Fachanwaltschaft Familienrecht •  • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Verwaltungsrecht • Fachanwaltschaft Baurecht & Architektenrecht • Mietrecht & Wohnungseigentumsrecht • Wirtschaftsrecht • Beamtenrecht • Grundstücksrecht & Immobilienrecht • Zivilrecht • Allgemeines Vertragsrecht • Werkvertragsrecht • Wettbewerbsrecht • Ausländerrecht & Asylrecht • Erbrecht
Kühlborn Rechtsanwälte,"Töpferplan 1, 06108 Halle (Saale)",No LinkedIn link,http://www.ra-kuehlborn.de/,info@ra-kuehlborn.de,Andrea Masuhr; Mirjam Naumburg; Sarah Dobritzsch; Anja Kühlborn,Fachanwaltschaft IT-Recht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Verwaltungsrecht • Fachanwaltschaft Steuerrecht • Fachanwaltschaft Vergaberecht • Fachanwaltschaft Medizinrecht •  • Mietrecht & Wohnungseigentumsrecht • Strafrecht • Zivilrecht • Beamtenrecht • Datenschutzrecht • Öffentliches Baurecht • Wirtschaftsrecht • Unternehmensrecht & Betriebsnachfolge
SUCKERT & COLLEGEN RECHTSANWÄLTE MÜNCHEN,"Belgradstr. 9/III, 80796 München",No LinkedIn link,http://www.suckert-collegen.de/,mail@suckert-collegen.de,Monika Daschner; Hans R. Suckert,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht •  • Ordnungswidrigkeitenrecht • Zivilrecht • Versicherungsrecht • Schadensersatzrecht & Schmerzensgeldrecht
Rechtsanwaltskanzlei Wulf & Collegen,"Breite Str. 53-54, 39576 Hansestadt Stendal",No LinkedIn link,http://www.kanzlei-wulf.de/,info@kanzlei-wulf.de,Lars Hänig; Jan Steinmetz; Fachanwalt für Arbeitsrecht Sandro Wulf; Hendrik Lippmann; Maximilian Scholze,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Familienrecht • Strafrecht • Mediation • Zivilrecht • Unternehmensrecht & Betriebsnachfolge • Baurecht & Architektenrecht • Allgemeines Vertragsrecht •  • Grundstücksrecht & Immobilienrecht • Ordnungswidrigkeitenrecht • Erbrecht • Wettbewerbsrecht • eBay & Recht • Handelsrecht & Gesellschaftsrecht • Markenrecht • IT-Recht
Kanzlei JMH,"Bahnhofstrasse 41, 65185 Wiesbaden",No LinkedIn link,https://www.kanzlei-jmh.de/,info@kanzlei-jmh.de,Jessica Müller-Horaczek; Elen Gergert; Pinar Lukac,Fachanwaltschaft Familienrecht • Fachanwaltschaft Strafrecht • Allgemeines Vertragsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Reiserecht • Mietrecht & Wohnungseigentumsrecht • Arbeitsrecht • Erbrecht • Opferhilfe • Unterhaltsrecht • Ordnungswidrigkeitenrecht • eBay & Recht • Forderungseinzug & Inkassorecht • Kaufrecht •
GKS Rechtsanwälte,"Morianstr. 3, 42103 Wuppertal",No LinkedIn link,https://gks-rechtsanwaelte.de/,info@gks-rechtsanwaelte.de,Meret Bischoff; Anna-Sophie Böttcher; Andreas Jäger; Daniel Junker; Charleen Pfohl,Fachanwaltschaft Strafrecht • Fachanwaltschaft Erbrecht • Fachanwaltschaft Familienrecht • Fachanwaltschaft Arbeitsrecht •  • Zivilrecht • Mietrecht & Wohnungseigentumsrecht • Sozialrecht • Mediation • Recht rund ums Tier • Pferderecht • Unterhaltsrecht • Allgemeines Vertragsrecht • Grundstücksrecht & Immobilienrecht • Kaufrecht
DJS&G Fachanwälte,"Kölner Straße 2, 50226 Frechen",No LinkedIn link,https://djsug.de/,granitzka@djsug.de,Klaus Hindelang FA Strafrecht; Ulrich Granitzka; Nicole Kania,Fachanwaltschaft Strafrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Medizinrecht • Fachanwaltschaft Erbrecht • Fachanwaltschaft Familienrecht • Ordnungswidrigkeitenrecht • Arzthaftungsrecht •  • Zivilrecht • Forderungseinzug & Inkassorecht
"Rechtsanwälte Ceelen, Dr. Hutter, Stalter, Pfaudler, Dr. Veh PartGmbB","Königsgraben 17, 87700 Memmingen",No LinkedIn link,https://www.mm-anwaelte.de/,info@mm-anwaelte.de,Christian Stalter; Thomas Pfaudler; Dr. Roland Veh,• Fachanwaltschaft Insolvenzrecht & Sanierungsrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Familienrecht • Fachanwaltschaft Erbrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Zivilrecht • Kaufrecht • Unterhaltsrecht • Allgemeines Vertragsrecht • Bankrecht & Kapitalmarktrecht • Versicherungsrecht • Schadensersatzrecht & Schmerzensgeldrecht
Etinger & Cazan Rechtsanwälte,"Prymstraße 1, 97070 Würzburg",No LinkedIn link,https://etinger-cazan.de/,info@etinger-cazan.de,Eva Benz; Sergej Etinger; Philipp Hofmann; Christian Cazan; Tatiana Slivina,Fachanwaltschaft Familienrecht • Fachanwaltschaft Strafrecht •  • Zivilrecht • Mietrecht & Wohnungseigentumsrecht • Erbrecht • Arbeitsrecht • Sozialrecht • Betreuungsrecht • Gewerblicher Rechtsschutz • Schadensersatzrecht & Schmerzensgeldrecht • Forderungseinzug & Inkassorecht • Allgemeines Vertragsrecht
Rohmann Tekath Sobirey Rechtsanwälte Partnerschaft mbB,"Wallstr. 6, 46483 Wesel",No LinkedIn link,http://www.roteso.de/,kanzlei@roteso.de,Udo Tekath; Olaf Sobirey; Dr. Ralf Rohmann,Fachanwaltschaft Familienrecht • Fachanwaltschaft Baurecht & Architektenrecht • Fachanwaltschaft Gewerblicher Rechtsschutz • Fachanwaltschaft Arbeitsrecht •  • Allgemeines Vertragsrecht
Anwaltskanzlei Landherr Rechtsanwälte und Fachanwälte,"Königstraße 50 50, 33330 Gütersloh",No LinkedIn link,http://www.ra-landherr.de/,info@ra-landherr.de,André Paul Landherr; Ulrike Weikert; Inka Kindlein-Herzog,Fachanwaltschaft Arbeitsrecht •  • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Familienrecht • Reiserecht • Erbrecht • Zivilrecht • Versicherungsrecht • Allgemeines Vertragsrecht
Warm & Kollegen Rechtsanwälte,"Detmolder Str. 204, 33100 Paderborn",No LinkedIn link,http://www.warm-rechtsanwaelte.de/,kanzlei@warm-rechtsanwaelte.de,Judith Spilker; Can Kaya; Martin J. Warm,Fachanwaltschaft Steuerrecht • Fachanwaltschaft Arbeitsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Erbrecht •  • IT-Recht • Zivilrecht • Reiserecht • Gewerblicher Rechtsschutz • Werkvertragsrecht • Grundstücksrecht & Immobilienrecht • Forderungseinzug & Inkassorecht • Kaufrecht • Maklerrecht • Mietrecht & Wohnungseigentumsrecht • Allgemeines Vertragsrecht • Unternehmensrecht & Betriebsnachfolge • Wirtschaftsrecht • Handelsrecht & Gesellschaftsrecht
BORGELT & PARTNER Rechtsanwälte mbB,"Taubenstr. 22, 40479 Düsseldorf",No LinkedIn link,https://www.borgelt.de/,borgelt@borgelt.de,Cornelius Vetter; Dr. Rainer Borgelt; Eva N. Dzepina LL.M. (UK); Simon Schmitz-Berg; Chuya Kojima; Charlotte Herbertz,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Sozialrecht • Familienrecht • Zivilrecht • Wirtschaftsrecht • Unternehmensrecht & Betriebsnachfolge • Allgemeines Vertragsrecht • Kaufrecht • Sportrecht • Erbrecht • Versicherungsrecht • Wettbewerbsrecht • Urheberrecht & Medienrecht • Patentrecht • IT-Recht • Markenrecht • Designrecht • Strafrecht • Ordnungswidrigkeitenrecht • Verwaltungsrecht •  • Mietrecht & Wohnungseigentumsrecht
